name,city,state,rating,designer,builder,opened,address,hours,size,notes,helmet
,Santa Rosa,CA,,,,,,,,,
,Scott's Valley,CA,,,,,,,,,
Berry Park,Selma,CA,,Site Design,California Skateparks,,S. Corner Of Whitson And 2nd Street Selma CA 93662,,,,
Hans Christian Anderson Park,Solvang,CA,,California Skateparks,California Skateparks,,633 Chalk Hill Rd. Solvang CA 93463,,14000,,
,St. Helena,CA,,Grindline,Grindline,,,8 am lights til 10pm,15000,,yes
,Sunnyvale,CA,,,,,,,,,
Terramore Skatepark,Trabuco,CA,,California Skateparks,California Skateparks,,26283 Sienna Pkwy Trabuco Orange CA 92692,,14000,,
,Tulare,CA,,Wally Holliday,California Skateparks,9/20/2008,Tulare & I St. Tulare CA,,25000,,
,Upland,CA,,Purkiss Rose,California Skateparks,,1323 E. San Bernardino Rd. Upland CA. 91786,,13000,,
,Venice,CA,,Wormhoudt,California Skateparks,,1800 Ocean Front Walk Venice Beach CA,,16000,,
Liberty Skatepark,Westminster,CA,,Purkiss Rose,California Skateparks,,13900 Monroe St. Westminster CA 92683,,10000,,
,Whittier,CA,,Purkiss Rose,California Skateparks,,7630 Washington Ave Whittier CA 90602,,9000,,
Mather Sports Center Skatepark,Mather,CA,,,,,3755 Schriever Avenue. Mather CA 95655,6:00 AM - 10:00 PM,18600,,
Burgess Skate Park,Menlo Park,CA,,,,,700 Alma Street Menlo Park CA 94025,dawn to dusk,14000,,
Applegate Skatepark,Merced,CA,,,,,678 West 18th Street Merced CA 95340,,7500,,
Mill Valley Skatepark,Mill Valley,CA,,,Skatewave,,180 Camino Alto Mill Valley CA 94941,,,,
Modesto Skatepark,Modesto,CA,,,,,Forest Glenn Drive at Sylvan Ave. Modesto CA 95355,,,,
Russian River Skatepark,Monte Rio,CA,,,Spohn Ranch Skateparks,,9725 Main Street Monte Rio CA 95462,,,,
El Estero Skatepark,Monterey Bay,CA,,,,,El Estero Park Complex 777 Pearl Street Monterey CA 93940,,,,
Lamorinda Skatepark,Moraga,CA,,Prefab,,,1799 St. Mary's Road Moraga CA 94556,,,pad nannies,Requires membership $
Morgan Hill Skate Park,Morgan Hill,CA,,,California Skateparks,,171 E Edmundson Avenue Morgan Hill California 95037,,16000,,
Rockies Skatepark,Morro Bay,CA,,,,,231 Atascadero Road Morro Bay CA 93442,,,,
Mires's Skatepark,Mountain View,CA,,,,,S Rengstorff Avenue and Central Expy,,,,
Beebe SkatePark,Mission Viejo,CA,,,,1999,24190 Olympiad Road Mission Viejo CA 92692,8:00 AM - dusk,9000,,
Deer Park,Monrovia,CA,,,,1964,,,,,
Monrovia Skatepark,Monrovia,CA,,,California Skateparks,,701-899 E Olive Ave Monrovia CA,Dawn until 9:00 PM,,,
Montclair Skatepark,Montclair,CA,,,,,5111 Benito St. Montclair CA 91763,8:00 AM until 10:00 PM,,,
Montebello Skatepark,Montebello,CA,,,,,1300 Whittier Blvd. Montebello CA 90640,M-F 12:00 to dusk S-S 10:00 to dusk,,,
Poindexter Skatepark,Moorepark,CA,,,California Skateparks,2009,500 Poindexter Avenue Moorepark CA 93021,,,,
Moreno Valley Skateboard Park,Moreno Valley,CA,,,,,W Street and Sixth Street Moreno Valley CA 92551,,,,
Cal Oaks Skatepark,Murietta,CA,,,,2008 revamp,40606 California Oaks Road Murrieta CA 92562,,,,
Napa Rip Zone Skatepark,Napa,CA,,,,1995,Pearl Street and West Street Napa CA 94558,,8000,,
Needles Skatepark,Needles,CA,,,,,1185 Army Rd. Needles CA 92363,,,,
Newbury Park Skatepark,Newbury Park,CA,,,,2009,190 North Reino Road Newbury Park CA 91320,,9000,,
North Hollywood Skate Plaza,North Hollywood,CA,,,California Skateparks,2010,11430 Chandler Boulevard Los Angeles CA 91601,Sunrise-sunset,150000,,
Doyle Skatepark,Norwalk,CA,,,Plywood Benders,,12200 Sproul St Norwalk CA 90650,,,,
Novato Skatepark,Novato,CA,,,Wormhoudt,2002,1200 N Hamilton Pkwy Novato CA 94949,10:00 - sunset,15000,,
Boys and Girls Club Skatepark,Oakhurst,CA,,,,,40094 Indian Springs Road Oakhurst CA 93644,,,,
Youth Uprising Skate Plaza,Oakland,CA,,,California Skateparks,,8601-8751 MacArthur Blvd Oakland CA 94605,Dawn to dusk,19000,,
Robb Field Skatepark,Ocean Beach,CA,,,,2000,2525 Bacon Street San Diego CA 92107,10:00 - dusk,40000,,
Alex Road Skatepark,Oceanside,CA,,,,2013,Alex Road and and Foussat Road Oceanside CA 92058,,22700,,
John Landes Skatepark,Oceanside,CA,,,,2003,4125 Lewis Street Oceanside CA 92056,Daylight hours,,,
Libby Lake Skatepark,Oceanside,CA,,,,2003,504 Calle Montecito Oceanside CA 92057,Daylight hours,,,
Bishop Skatepark,Oceanside,CA,,,Grindline,2008,5306 North River Road Oceanside CA 92057,Daylight hours,8000,,
Martin Luther King Jr. Skatepark,Oceanside,CA,,,Grindline,2008,4300 Mesa Dr Oceanside CA 92057,Daylight hours,6000,,
Ojai Skatepark,Ojai,CA,,,California Skateparks,2000,414 East Ojai Avenue Ojai CA 93023,Dawn to Dusk,12500,,
Vans Skatepark,Orange,CA,,,RCMC California Skateparks,,20 City Boulevard West Orange CA 92861,,46000,,
Orange Cove Skatepark,Orange,CA,,,SITE Design,,S. Anchor Avenue and Parlier Avenue Orange Cove CA 93646,12:00PM - 8:00 PM,,,
Bedrock Skate and Bike Park,Oroville,CA,,,Altman Engineering,,1100 Feather River Blvd Oroville CA 95965,,14500,,
Oxnard Skatepark,Oxnard,CA,,,Wormhoudt,2004,3250 South Rose Avenue Oxnard CA 93033,M-Th 2:00-8:00 F 2:00-10:00 Sat 10:00-10:00 Sun 10:00-8:00,,,
Pacifica Skatepark,Pacifica,CA,,,,2005,540 Crespi Drive Pacifica CA 94044,M-Sat 9:00-Sunset Sun 10:30- Sunset,14000,,
P-Rod Skatepark,Pacoima,CA,,,California Skateparks,2009,10731 Laurel Canyon Blvd Pacoima CA 91331,,,,
Pala Skatepark,Pala,CA,,,California Skateparks,2008,12100 Pala Mission Road Pala CA 92059,M-F 2:00-Dusk S-Sun 2:00-6:30,,,
Palm Desert Skatepark,Palm Desert,CA,,,,,3906 San Pablo Ave Palm Desert CA 92260,6:00 AM - 10:00 PM,,,
Sunrise Plaza Skatepark,Palm Springs,CA,,,,2003,4401 South Pavilion Way Palm Springs CA 92262,12:00 - 10:00,30000,,
Chris O'Leary Skatepark,Palmdale,CA,,,,,Dominic Massari Park 37716 55th Street Palmdale CA 93552,M-F 3:00-8:00 S-S 10:00-8:00,,,
Greer Skatepark,Palo Alto,CA,,,,,1098 Amarillo Avenue Palo Alto CA 94303,,,,
Andres and Maria Cardenas Skatepark,Panorama City,CA,,,,,14740 Blythe St. Panorama City CA 91402,,4500,,
Village Skatepark,Paramount,CA,,,,2001,7700 Somerset Ave. Paramount CA 90723,,,,
Pasadena Skatepark,Pasadena,CA,,,,,45 East Washington Boulevard Pasadena CA 91101,,,,
Paragon Skatepark,Perris,CA,,,,,,,,,
Compound Skatepark,Perris,CA,,,,,18700 Lake Perris Dr. Perris CA 92571,,,,
Petaluma Skatepark,Petaluma,CA,,,,,East Washington Street and Fairgrounds Drive Petaluma CA 94952,,,,
Ramp Rats Skatepark,Petaluma,CA,,,,,1004 Lakeville St Petaluma CA 94952,,8000,,
Pico Rivera Skatepark,Pico Rivera,CA,,,,,6016 Rosemead Blvd Pico Rivera CA 90660,10:00-Dusk,10000,,
Piedmont Skatepark,Piedmont,CA,,,,,Moraga Ave and Red Rock Rd Piedmont CA 94618,,,,
Joes Skatepark,Placerville,CA,,,California Skateparks,,216 Armory Rd Placerville CA 95667,,,,
Pleasanton Skatepark #2,Pleasanton,CA,,,,,Stoneridge Dr and Johnson Dr Pleasanton CA 94566,,18000,,
Pleasanton Skatepark,Pleasanton,CA,,,,,Hopyard Road and Parkside Drive Pleasanton CA 94588,,,,
MLK Jr. Skatepark,Pomona,CA,,,Purkiss-Rose,,Martin Luther King Jr. Park corner of W. Lexington and S. White Pomona CA 91766,,,,
Palomares Skatepark,Pomona,CA,,,,,499 E. Arrow Hwy. Pomona CA 91767,,,,
Poway Skatepark,Poway,CA,,,California Skateparks,2003,13090 Civic Center Drive Poway CA 92064,8:00-9:30,14400,,
,Adams,OR,,Dreamland,Dreamland,2/6/2015,Morrison St & Commercial St Adams OR 97810,,,,
,Albany,OR,,Eric Dawkins & Great American Skateparks,Eric Dawkins & Great American Skateparks,Nov-99,1375 SE 6th Ave Albany OR 97321,,15000,,
,Ashland,OR,,,,,,,,,
Ashland Skatepark,Ashland,OR,3,Eric Dawkins & Great American Skateparks,Eric Dawkins & Great American Skateparks,Jan-99,W Hersey St & Water St Ashland OR 97520,,15000,,
Tapiola Park,Astoria,OR,5,Dreamland,Dreamland,,900 W Marine Dr. Astoria OR 97103,Sunrise-Sunset,11000,,
,Athena,OR,,,,,E Main St & S 1st St Athena OR 97813,,4000,,
Brian Haney Memorial Skatepark,Aumsville,OR,5,Dreamland,Dreamland,2000,,Lights 24 hours,8000,,
Sam-O Skate Park,Baker City,OR,2,City of Baker City,,,500 Baker St Baker City OR 97814,,6000,,
,Bandon,OR,,,,,,,,,
,Bay City,OR,,Dreamland,Dreamland,10/21/2007,4th St. and A St. Bay City OR 97107,,,,
Tualatin Hills Park,Beaverton,OR,3,Grindline,Grindline,,50 NW 158th Ave Beaverton OR 97006,,18000,,
Ponderosa Park,Bend,OR,,Wormhoudt,Wormhoudt,Aug-97,225 SE 15th St Bend OR 97702,,11500,,
Truck Stop Skate Park,Bend,OR,,Indoor park,Indoor park,,1307 Northeast 1st Street Bend OR 97701,,,,
,Boardman,OR,,Huna Designs (Prefab),Huna Designs (Prefab),,198 3rd St NE Boardman OR 97818,,,,
,Brookings,OR,4,Dreamland,Dreamland,12/1/2015,Hassett St. & 3rd St. Brookings OR 97415,,8000,,
,Burns,OR,,,,,,,,,
,Canby,OR,,,Buzzy Morales Construction,,1175 Nw 3rd Ave Canby OR 97013,,11000,,
,Cannon Beach,OR,,Placed to Ride,Placed to Ride,,E Gower Ave & Evergreen Ave Cannon Beach OR 97145,,6000,,
,Carlton/Carlson,OR,,,,,,,,,
,Cave Junction,OR,,,,,,Sunrise-Sunset,,,
Joel Tanzi Skatepark,Cenral Point,OR,,Purkiss Rose,Purkiss Rose,5/5/2015,403 S 4th St Central Point OR 97502,,6500,,
,Clatskanie,OR,,,,,NE 5th St & Park St Clatskanie OR 97016,,10000,helmet,
Mingus Park,Coos Bay,OR,4,Liquid Stone Designs,Liquid Stone Designs,5/22/2009,N 8th St & Commercial Ave Coos Bay OR 97420,,8000,,
,Corbett,OR,,,,,,,,,
Eric Scott McKinley Skatepark,Corvallis,OR,,,Buzzy Morales Construction,Oct-00,Junction of Highway 30 99 and 20 Corvallis OR 97333,8am - 10pm,14000,,
,Cottage Grove,OR,,,,2004,S Gateway Blvd & Taylor Ave Cottage Grove OR 97424,,5000,,
,Dallas,OR,,,,,SE Walnut Ave & SE Lacreole Dr Dallas OR 97338,,,,
,Depoe Bay,OR,,,,,,,,,
,Donald,OR,4,Dreamland,Dreamland,2001,Main St. NE and Matthieu St. Donald OR 97020,,2500,,
,Echo,OR,,Grindline,Grindline,,N Front St and Main St. Echo OR 97826,9am - 8pm,,,
,Enterprise,OR,,,,,,,,POS,
Bethel Skatepark,Eugene,OR,3,Airspeed Skateparks,Airspeed Skateparks,2002,Jeffrey Way & Haviture Way Eugene OR 97402,,8000,,
Amazon Park,Eugene,OR,1,,,1991,2580 Hilyard St Eugene OR 97405,,,,
Cal Young Park,Eugene,OR,2,,,2001,Gilham Rd & Crescent Ave Eugene OR 97408,,6000,,
Churchil Skatepark,Eugene,OR,3,Eric Dawkins & Great American Skateparks,Eric Dawkins & Great American Skateparks,2000,Bailey Hill Rd & Westleigh St Eugene OR 97405,,8500,,
Trainsong Skatepark,Eugene,OR,,ARC (Prefab),ARC (Prefab),2003,2771 Edison St Eugene OR 97402,,4000,,
Shelter Skatepark,Eugene,OR,,,,,,,,indoor,
Emerald Skatepark,Eugene,OR,2,,,,1400 Lake Dr Eugene OR 97404,,5000,In progress,
Miller Park,Florence,OR,,Airspeed Skateparks,Airspeed Skateparks,September/October '04,Oak St & 18th St Florence OR 97439,,12000,,
Lincoln Park,Forest Grove,OR,,Site Design,,2004,2725 Main St Forest Grove OR 97116,9am - One Hour After Sunset,18000,,
Bullfrog Skate Park,Gold Beach,OR,,Liquid Stone Designs,Liquid Stone Designs,1/21/2010,Hwy 101 and Ellensburg Ave Gold Beach OR 97444,,25000,,
,Grants Pass,OR,3,Eric Dawkins & Great American Skateparks,Eric Dawkins & Great American Skateparks,10/21/2001,820 SE M St Grants Pass OR 97526,7:30am - 10pm,21000,http://www.grantspassoregon.gov/Index.aspx?page=153,
,Gresham,OR,3,Dreamland,Dreamland,,219 S Main Ave. Gresham OR 97080,lights,5710,,
,Happy Valley,OR,,,,,,,,In progress,
,Harrisburg,OR,3,Dreamland,Dreamland,12/8/2015,530 Smith St. Harrisburg OR 97446,lights,10000,coping ruined by bikes,
,Hermiston,OR,,Dreamland,Dreamland,,,,,,
Reedville Park,Hillsboro,OR,2,Site Design,Corp Inc.,2/3/2015,SW Cornelius Pass Rd & SW Frances St Hillsboro OR 97123,,12000,,
,Hood River,OR,5,Dreamland,Dreamland,,Wasco Ave & N 20th St. Hood River OR 97031,,,,
Barendse Park,Hubbard,OR,,Rhino Ramps (prefab),Rhino Ramps (prefab),8/2/2015,5th St & Kari Ln Hubbard OR 97032,,3000,,
Don Baxter Skatepark,Irrigon,OR,4,Grindline,Grindline,2007,Main Ave & 6th St NE Irrigon OR 97844,lights,8000,,
,Jacksonvile,OR,4,Grindline,Grindline,,N Oregon St & W C St Jacksonville OR 97530,,,,
Smokey Gibson Memorial Park,John Day,OR,,ARC (Prefab),ARC (Prefab),2007,NE 7th Ave John Day OR 97845,,6000,,
Carlson Skatepark,Keizer,OR,3,City/Labor Union,Union Labor,,930 Chemawa Rd NE Keizer OR 97303,,21600,,
,Klamath Falls,OR,5,Dreamland,Dreamland,,4500 Foothills Blvd. Klamath Falls OR,,22000,,
Pioneer Park,Lagrande,OR,3,,Corp Inc.,,Oak St & Palmer Ave La Grande OR 97850,,15000,,
,Lake Oswego,OR,,,,,Pilkington Rd & Willow Ln Lake Oswego OR 97035,,,,
,Lincoln City,OR,5,Dreamland,Dreamland,,NE 23rd St. Lincoln City OR 97367,,,,
,Madras,OR,,Dreamland,Dreamland,10/28/2005,SW H St. & SW Lincoln St. Madras OR 97741,,10000,,
Joe Dancer Park,McMinnville,OR,,Dreamland,Dreamland,3/18/2005,1650 SE Brooks Street McMinnville Oregon 97128,Sunrise-Sunset,10000,,
Bear Creek Saktepark,Medford,OR,3,Eric Dawkins & Great American Skateparks,Eric Dawkins & Great American Skateparks,May-00,1520 Siskiyou Blvd Medford OR 97504,,24000,,
,Mill City,OR,,,,,,,,In progress,
,Milton Freewater,OR,,Dreamland,Dreamland,2004,NW 8th Ave & Robbins St Milton-Freewater Umatilla Oregon 97862,lights,7500,,
,Molalla,OR,2,Selena De La Cruz and Army Corp of Engineers,Selena De La Cruz and Army Corp of Engineers,6/24/2000,209 Kennel St Molalla OR 97038,,7600,,
,Monmouth/Independence,OR,,Volunteers & Community,Prefab,2002,Monmouth Independence Hwy & N Hogan Rd Monmouth OR 97361,1 Hour before Sunrise - 1 Hour after Sunset,4000,,
Millsite Park,Myrtle Creek,OR,4,Grindline,Grindline,,113 NE Oak St Myrtle Creek OR 97457,,8500,,
,Myrtle Point,OR,3,Eric Dawkins and Crow Clay & Associates,Upper Valley Builders,,Spruce St & 1st St Myrtle Point OR 97458,,10000,,
,Nehalem,OR,,,,,36155 9th St Nehalem OR 97131 USA,,2000,Wood ramp,
Ewing Young Park,Newburg,OR,5,Dreamland,Dreamland,7/1/2000,1201 S Blaine St. Newberg OR 97132,Sunrise-Sunset,29000,,
,Newport,OR,,Airspeed Skateparks,Airspeed Skateparks,,NW Spring St & NW 8th St Newport OR 97365,,6500,,
Wayne C. King Memorial Skatepark,Ontario,OR,,,,,790 SW 3rd Ave Ontario Oregon 97914 USA,,,,
,Oregon City,OR,,Purkiss Rose,Robert Johnson,Aug-00,1955 Clackamette Drive Oregon City OR 97045,,10000,,
Rudy Rada Skatepark,Pendleton,OR,,Dreamland,Dreamland,10/17/2008,US 30 and OR 57 Pendleton OR 97801,lights,11000,,
,Philomath,OR,,,,2005,2054 Applegate Street Philomath OR 97370,,6000,,
Buffington Park,Port Ordford,OR,,Dreamland,Dreamland,2009,14th St and Arizona St Port Orford OR 97465,,3000,,
Gabriel Park,Portland,OR,3,Airspeed Skateparks,Airspeed Skateparks,7/8/2015,SW Vermont St & SW 45th Ave Portland OR 97219,,10000,,
Brooklyn Street Spot,Portland,OR,,DIY,DIY,,SE Brooklyn St & SE 16th Ave Portland OR 97202,,,,
Ed Benedict Skate Plaza,Portland,OR,3,Newline Skateparks,California Skateparks,,10000 Southeast Powell Blvd. Portland OR 97204,,18000,,
Glenhaven,Portland,OR,4,Dreamland,Dreamland,4/27/2007,NE 82nd Avenue and Siskiyou Street Portland OR 97213,,11000,,
Pier Park,Portland,OR,4,Dreamland,Dreamland,10/14/2006,N Hudson St and N Bruce Ave Portland OR 97203,,11070,,
Holly Farm,Portland,OR,3,Dreamland,Dreamland,7/28/2007,SW Capitol Hwy & SW Comus St Portland OR 97219,,2800,,
Burnside,Portland,OR,,,,,,,,,
,Prineville,OR,,steel ramps,steel ramps,,NE Juniper St & NE Knowledge St Prineville OR 97754,,3000,,
,Rainier,OR,,Skatewave (prefab),Skatewave (prefab),,W A St & W 6th St Rainier OR 97048,,3000,,
,Redmond,OR,,Dreamland,Dreamland,5/19/2001,W Antler Ave & SW 15th St Redmond OR 97756,,15000,,
,Reedsport,OR,4,Airspeed Skateparks,Airspeed Skateparks,9/23/2003,U.S. 101 & S 21st St Reedsport OR 97467,Sunrise-Sunset,13000,,
Stewart Park,Roseburg,OR,3,Eric Dawkins & Great American Skateparks,Eric Dawkins & Great American Skateparks,2000,Duck Pond St Roseburg OR 97471,,8000,,
Marion Square Park,Salem,OR,2,,,,Commercial St NE & Marion St NE Salem OR 97301,,,,
,Sandy,OR,2,City of Sandy,Stagl Construction and Carlson Construction,7/3/2000,Hood St & SE Meinig Ave Sandy OR 97055,Sunrise-Sunset,10000,,
,Scappoose,OR,1,Buzzy Morales and the Army Corps of Engineers,Buzzy Morales and the Army Corps of Engineers,1999,E Columbia Ave & SE 2nd St Scappoose OR 97056,,2000,,
Skate 'n' Ride Park,Seaside,OR,3,Placed to Ride,Placed to Ride,6/7/2007,1140 Broadway St Seaside OR 97138,,11000,,
Wayne Potter Memorial Skatepark,Sheridan,OR,,Oregon Army National Guard and City of Sheridan Public Works Department,Oregon Army National Guard and City of Sheridan Public Works Department,1997,NE Yamhill St & NE Box St Sheridan OR 97378,,10000,,
,Siletz,OR,,LRM & Associates,Alltech,2003,484 SW Swan Ave Siletz OR 97380,,10000,,
Willamalane Skatepark,Springfield,OR,2,Purkiss Rose,,2003,1276 G St Springfield OR 97477,,11500,,
McCormick Park,St. Helens,OR,2,Tony Gembeck,Tony Gembeck,6/5/1999,375 S 18th St St Helens OR 97051,,12000,,
,Sweet Home,OR,1,Recreation Resource Co. (Prefab),Recreation Resource Co. (Prefab),,1920 Long St Sweet Home OR 97386,,,,
Old Town Skatepark,Talent,OR,3,Airspeed Skateparks,Airspeed Skateparks,1998,E Main St & John St Talent OR 97540,,12000,,
Thompson Park,The Dalles,OR,,Spohn Ranch,Spohn Ranch,6/11/2015,602 W 2nd St The Dalles OR 97058,,7500,,
Jim Griffith Memorial Skatepark,Tigard,OR,4,Dreamland,Dreamland,11/8/2007,13125 SW Hall Blvd Tigard Oregon 97223,Sunrise-Sunset,15000,,
,Toledo,OR,,Airspeed Skateparks,Airspeed Skateparks,,NW A St & NW 7th St Toledo OR 97391,,10000,,
,Tualatin,OR,,Purkiss Rose,,12/11/1998,8515 SW Tualatin Rd Tualatin OR 97062,,,,
Territorial Park,Veneta,OR,,,,2002,Territorial Rd & Hunter Rd Veneta OR 97487,,8000,,
,Waldport,OR,3,Airspeed Skateparks,Airspeed Skateparks,6/16/2003,S Crestline Dr & SE Salmon St Waldport OR 97394,,6500,,
Robinwood,West Linn,OR,1,Placed to Ride,Placed to Ride,,3600 Fairview Way West Linn OR 97068,,,,
,West Linn,OR,5,Grindline,Grindline,2002,Parker Rd & Wild Rose Dr West Linn OR 97068,,14000,,
,Weston,OR,1,,,,,,,,
,White City,OR,3,Eric Dawkins & Great American Skateparks,Eric Dawkins & Great American Skateparks,3/4/2015,,,,,
Oaken Hills Memorial Park,Willamina,OR,1,Prefab,Prefab,,417 NE Oaken Hills Dr Willamina OR 97396,,3000,,
,Wilsonville,OR,1,Prefab,Prefab,6/22/2009,8100 SW Wilsonville Road Wilsonville Oregon 97070,,6000,,
Riverbend Park,Winston,OR,,Dreamland,Dreamland,7/2/2009,31 Thompson Ave Winston OR 97496,,7000,,
Richard Jennings Skaepark,Woodburn,OR,,Purkiss Rose,Corp Inc.,5/31/2003,400 S Settlemier Ave Woodburn OR 97071,,12000,,